               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.019951,           0.0069016,            0.000939,             0.99339,             0.98566,               0.995,             0.73881,            0.013967,            0.002899,           0.0010533,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019742,           0.0068498,           0.0016878,             0.99071,             0.98534,               0.995,             0.78149,            0.012706,           0.0028176,           0.0010823,            0.003961,            0.003961,            0.003961
                 124,            0.020187,           0.0058455,            0.001715,             0.98406,              0.9849,               0.995,             0.76385,            0.012173,           0.0027833,           0.0011847,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018894,           0.0064013,           0.0013754,              0.9814,              0.9846,               0.995,             0.79519,            0.011765,           0.0028788,           0.0013648,            0.003862,            0.003862,            0.003862
                 126,            0.020358,            0.006506,          0.00070663,              0.9779,             0.98549,             0.99444,               0.798,            0.010624,           0.0027016,           0.0016043,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019904,           0.0063607,           0.0007532,             0.97139,             0.98507,              0.9937,             0.78676,            0.011246,           0.0027414,           0.0018364,            0.003763,            0.003763,            0.003763
                 128,            0.021232,           0.0075334,          0.00058032,             0.97288,             0.98532,             0.99444,             0.81579,            0.010534,           0.0026646,           0.0017625,           0.0037135,           0.0037135,           0.0037135
                 129,            0.020432,           0.0071408,            0.002372,             0.96744,             0.97276,             0.98856,             0.75826,             0.01195,           0.0026797,           0.0023742,            0.003664,            0.003664,            0.003664
                 130,            0.020734,           0.0063978,          0.00082317,             0.96264,             0.97083,             0.98973,             0.78233,            0.011911,           0.0028539,           0.0027276,           0.0036145,           0.0036145,           0.0036145
                 131,            0.017753,            0.005336,           0.0010091,             0.93949,             0.98289,             0.98782,             0.76278,            0.011547,           0.0028258,           0.0031051,            0.003565,            0.003565,            0.003565
                 132,            0.017352,           0.0065136,          0.00091504,             0.94265,             0.98355,             0.98603,             0.77622,            0.012355,           0.0028908,           0.0029354,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019745,           0.0062103,          0.00078742,             0.97226,             0.97453,             0.98973,             0.78838,            0.011834,           0.0028715,           0.0025838,            0.003466,            0.003466,            0.003466
                 134,             0.01804,            0.005889,           0.0012945,              0.9786,             0.98549,             0.99222,             0.79287,            0.012223,           0.0027798,           0.0019717,           0.0034165,           0.0034165,           0.0034165
                 135,            0.017569,           0.0059434,           0.0012402,               0.979,             0.98541,             0.99444,             0.78949,            0.011878,            0.002814,           0.0016947,            0.003367,            0.003367,            0.003367
                 136,            0.018363,           0.0059717,          0.00064581,             0.98034,             0.98497,               0.995,             0.78037,             0.01244,           0.0027695,           0.0015732,           0.0033175,           0.0033175,           0.0033175
                 137,            0.017322,            0.006416,          0.00085713,             0.97889,             0.98586,             0.99444,             0.80453,            0.012412,           0.0026977,           0.0015064,            0.003268,            0.003268,            0.003268
                 138,            0.017672,           0.0069001,          0.00073079,             0.98074,             0.98488,               0.995,             0.76428,            0.012282,           0.0027187,           0.0015029,           0.0032185,           0.0032185,           0.0032185
                 139,             0.01814,           0.0063418,           0.0054401,             0.98515,             0.98467,               0.995,             0.78939,             0.01246,           0.0026837,           0.0014566,            0.003169,            0.003169,            0.003169
                 140,             0.01915,           0.0074023,           0.0024139,             0.97677,             0.98543,               0.995,             0.78618,            0.011829,           0.0026541,           0.0015753,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015655,           0.0058659,          0.00064887,             0.98733,             0.98516,               0.995,             0.80857,            0.011581,           0.0027572,           0.0013546,             0.00307,             0.00307,             0.00307
                 142,            0.017801,           0.0053357,          0.00071829,             0.99585,             0.98586,               0.995,             0.80112,            0.010797,            0.002813,          0.00098583,           0.0030205,           0.0030205,           0.0030205
                 143,            0.017127,           0.0066758,            0.001227,             0.99123,             0.99777,               0.995,             0.81163,             0.01106,           0.0028288,          0.00064332,            0.002971,            0.002971,            0.002971
                 144,            0.016784,           0.0068018,          0.00075391,             0.99414,                   1,               0.995,             0.79464,            0.011026,           0.0029503,           0.0005174,           0.0029215,           0.0029215,           0.0029215
                 145,            0.017971,           0.0064807,           0.0014502,             0.99272,                   1,               0.995,              0.8108,            0.010887,           0.0028743,          0.00052942,            0.002872,            0.002872,            0.002872
                 146,            0.017372,           0.0067028,           0.0019626,             0.99271,             0.98474,               0.995,             0.80038,            0.011472,           0.0028698,           0.0010442,           0.0028225,           0.0028225,           0.0028225
                 147,            0.017414,           0.0065244,           0.0010183,             0.97555,             0.98341,               0.995,             0.80183,            0.010483,           0.0028745,           0.0016878,            0.002773,            0.002773,            0.002773
                 148,            0.019927,           0.0065906,            0.001306,             0.93505,             0.99785,             0.99444,               0.774,            0.011853,           0.0029445,           0.0026071,           0.0027235,           0.0027235,           0.0027235
                 149,            0.017361,           0.0070258,           0.0017995,             0.94208,             0.98438,             0.99399,             0.78751,            0.011341,           0.0029729,           0.0025934,            0.002674,            0.002674,            0.002674
                 150,            0.016562,           0.0059475,          0.00090484,             0.96598,             0.98528,               0.995,             0.81155,            0.011631,           0.0029675,           0.0017428,           0.0026245,           0.0026245,           0.0026245
                 151,            0.018505,           0.0058032,          0.00087367,             0.98868,             0.98551,               0.995,             0.78345,            0.011357,           0.0030293,           0.0010489,            0.002575,            0.002575,            0.002575
                 152,            0.016236,           0.0060582,          0.00066832,              0.9901,             0.98718,               0.995,             0.80794,            0.010844,           0.0029659,          0.00077337,           0.0025255,           0.0025255,           0.0025255
                 153,             0.01491,           0.0056056,           0.0013276,             0.99068,              0.9869,               0.995,             0.79126,            0.011167,           0.0029818,          0.00086779,            0.002476,            0.002476,            0.002476
                 154,            0.016787,           0.0056438,           0.0010857,             0.98954,             0.98654,               0.995,             0.81653,            0.010612,           0.0028823,           0.0010079,           0.0024265,           0.0024265,           0.0024265
                 155,            0.016758,           0.0063503,          0.00071578,             0.98792,             0.98633,               0.995,             0.81492,              0.0111,           0.0028939,           0.0011543,            0.002377,            0.002377,            0.002377
